股票代號,股票名稱,市場,產業別,收盤價,融資餘額(張),估計融資成本,融資成數,估算融資維持率(%),備註
0051,元大中型100,twse,ETF,135.6,3.0,147.57,0.9,102.1, 
00762,元大全球AI,twse,ETF,106.0,63.0,114.47,0.9,102.89, 
6706,惠特,twse,電子工業,110.5,8502.0,178.32,0.6,103.28, 
3581,博磊,tpex,半導體業,115.5,1716.0,182.03,0.6,105.75,11   A
0050,元大台灣50,twse,ETF,100.15,18333.0,104.14,0.9,106.86,X 
3138,耀登,twse,電子工業,100.5,2539.0,156.12,0.6,107.29,X 
4977,眾達-KY,twse,通信網路業,130.0,6915.0,201.46,0.6,107.55,X 
6785,昱展新藥,tpex,生技醫療業,109.0,1042.0,167.79,0.6,108.27,
6568,宏觀,tpex,半導體業,140.0,1078.0,208.67,0.6,111.82,X
00757,統一FANG+,twse,ETF,130.35,276.0,129.03,0.9,112.25, 
3555,博士旺,tpex,半導體業,142.0,764.0,210.25,0.6,112.56,11    B
4908,前鼎,tpex,通信網路業,138.0,2455.0,202.26,0.6,113.72,61      D
6854,錼創科技-KY創,twse,電子工業,103.0,3541.0,146.64,0.6,117.07, 
00662,富邦NASDAQ,twse,ETF,118.85,1291.0,111.48,0.9,118.46, 
8467,波力-KY,twse,運動休閒,102.5,256.0,143.43,0.6,119.11, 
3715,定穎投控,twse,電子工業,123.5,23282.0,171.85,0.6,119.77, 
2375,凱美,twse,電子零組件業,148.5,7900.0,201.53,0.6,122.81, 
6895,宏碩系統,tpex,半導體業,124.5,991.0,166.8,0.6,124.4,X
1785,光洋科,tpex,其他電子類,107.5,34645.0,143.73,0.6,124.66,X
8042,金山電,tpex,電子零組件業,129.5,5478.0,172.78,0.6,124.92,11   A
8227,巨有科技,tpex,半導體業,148.0,2155.0,196.01,0.6,125.85,X
3135,凌航,twse,電子工業,144.5,2272.0,188.64,0.6,127.67, 
8043,蜜望實,tpex,電子零組件業,141.0,4921.0,183.78,0.6,127.87,11   A C
3305,昇貿,twse,其他電子業,109.0,7680.0,141.74,0.6,128.16, 
3691,碩禾,tpex,光電業,117.5,3149.0,152.31,0.6,128.58,X
2755,揚秦,tpex,觀光餐旅,105.0,95.0,135.95,0.6,128.73,X
8086,宏捷科,tpex,半導體業,118.5,9237.0,152.95,0.6,129.13,
7712,博盛半導體,tpex,半導體業,144.5,1365.0,186.41,0.6,129.19,X
6230,尼得科超眾,twse,電腦及週邊設備業,113.0,468.0,145.1,0.6,129.79, 
2478,大毅,twse,電子零組件業,142.5,8188.0,182.75,0.6,129.96, 
